id_feu,siniestro_fecha,provincia,id_provincia,numero,numero_ocupantes,tipo_involucrado,otro_tipo_involucrado,modelo,ano_vehiculo,uso_vehiculo,tipo_servicio_vehiculo,tipo_vehiculo_de_movilidad_personal,tipo_de_bicicleta,tipo_de_transporte_de_carga,sustancias_peligrosas,tipo_transporte_pasajeros,tipo_traccion_a_sangre
49252,2019-01-31 7:00:00,CORRIENTES,21,0,1,Automóvil,,IDEA ATTRACTIVE 1.4 8V,2013,Privado,,,,,,,
49252,2019-01-31 7:00:00,CORRIENTES,21,1,1,Motocicleta,,CG150,2018,Privado,,,,,,,
49268,2019-02-04 18:27:00,CORRIENTES,21,0,1,Automóvil,,DAILY 50.13 FURGON VIDRIADO 3950,2003,Privado,,,,,,,
49268,2019-02-04 18:27:00,CORRIENTES,21,1,1,Automóvil,,ETIOS XLS 1.5 4A/T,2018,Privado,,,,,,,
49268,2019-02-04 18:27:00,CORRIENTES,21,2,1,Automóvil,,HILUX 4X4 D/C SRX 2.8 TDI 6 A/T,2010,Privado,,,,,,,
49307,2019-02-21 16:45:00,CORRIENTES,21,0,2,Motocicleta,,BIZ 125,2012,Privado,,,,,,,
49311,2019-02-23 21:20:00,CORRIENTES,21,0,1,Motocicleta,,110,2011,Privado,,,,,,,
49322,2019-02-28 1:45:00,CORRIENTES,21,0,1,Automóvil,,CORSA CLASSIC WAGON GLS 1.4 N,2007,Privado,,,,,,,
49322,2019-02-28 1:45:00,CORRIENTES,21,1,1,Motocicleta,,ZB 110 R,2018,Privado,,,,,,,
49325,2019-03-02 0:20:00,CORRIENTES,21,0,1,Automóvil,,CORSA,2009,Privado,,,,,,,
49325,2019-03-02 0:20:00,CORRIENTES,21,1,1,Motocicleta,,SKUA 150,2017,Privado,,,,,,,
49335,2019-03-07 9:30:00,CORRIENTES,21,0,1,Automóvil,,F 250/TD/XL,1988,Privado,,,,,,,
49335,2019-03-07 9:30:00,CORRIENTES,21,1,1,Automóvil,,SENTRA SR CVT PURE DRIVE,1989,Privado,,,,,,,
49336,2019-03-08 13:45:00,CORRIENTES,21,0,1,Automóvil,,GOL 1.6 012,2018,Privado,,,,,,,
49336,2019-03-08 13:45:00,CORRIENTES,21,1,1,Motocicleta,,ZB 110 R,2011,Privado,,,,,,,
49345,2019-03-11 17:00:00,CORRIENTES,21,0,1,Automóvil,,GOL TREND 1.6 SPORTLINE,2015,Privado,,,,,,,
49345,2019-03-11 17:00:00,CORRIENTES,21,1,1,Automóvil,,AP 827 1.6CFI,2019,Privado,,,,,,,
49345,2019-03-11 17:00:00,CORRIENTES,21,2,1,Automóvil,,BLAZER S10,2016,Privado,,,,,,,
49348,2019-03-13 1:30:00,CORRIENTES,21,0,1,Automóvil,,GOL,2013,Privado,,,,,,,
49348,2019-03-13 1:30:00,CORRIENTES,21,1,1,Automóvil,,FUN,2009,,,,,,,,
49358,2019-03-17 2:35:00,CORRIENTES,21,0,1,Motocicleta,,CG 150 TITAN,2011,Privado,,,,,,,
49358,2019-03-17 2:35:00,CORRIENTES,21,1,1,Automóvil,,GOL,2017,,,,,,,,
49369,2019-03-17 23:30:00,CORRIENTES,21,0,1,Motocicleta,,110 CC,2019,Privado,,,,,,,
49379,2019-03-23 22:36:00,CORRIENTES,21,0,1,Motocicleta,,BLITZ,2010,Privado,,,,,,,
49383,2019-03-24 17:50:00,CORRIENTES,21,0,1,Automóvil,,BORA,2010,Privado,,,,,,,
49383,2019-03-24 17:50:00,CORRIENTES,21,1,2,Motocicleta,,ZB110D,2018,Privado,,,,,,,
49390,2019-03-27 11:10:00,CORRIENTES,21,0,1,Automóvil,,307,2010,Privado,,,,,,,
49390,2019-03-27 11:10:00,CORRIENTES,21,1,1,Motocicleta,,YBR,2009,Privado,,,,,,,
49391,2019-03-27 9:35:00,CORRIENTES,21,0,1,Automóvil,,,,Privado,,,,,,,
49391,2019-03-27 9:35:00,CORRIENTES,21,1,1,Motocicleta,,BIZ 125,2012,Privado,,,,,,,
