id_feu,unidad_regional,siniestro_fecha,siniestro_hora,provincia,id_provincia,departamento,id_departamento,localidad,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,entre_calle_2,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_multiple,tipo_siniestro_unico,despiste_previo,tipo_siniestro_otro,tipo_colision,cantidad_de_involucrados,trazado_via,configuracion_de_la_via,configuracion_de_la_via_otro_tipo,pendiente_declive,cono_de_vision,material_de_la_calzada,material_de_la_calzada_otro,estado_de_la_calzada,estado_fisico_ambiental,estado_de_conservacion_otro,division_fisica_de_la_via,division_fisica_de_la_via_otro,barreras_de_seguridad,banquinas,senalizacion_carteleria,senalizacion_horizontal,senalizacion_transitoria,luminosidad,luz_artificial,transito_restringido,estado_ambiental,visibilidad,visibilidad_otro,semaforo
189212,OBSERVATORIO VIAL,2023-11-17,6:30:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,CUBA,5100,,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Recta,,,,S/D,,Apto,Seca,,S/D,,S/D,,S/D,S/D,S/D,Día,,,Despejado,,,Sin Semáforo
189277,OBSERVATORIO VIAL,2023-11-11,9:35:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,GODOY CRUZ,1700,PASAJE ACEVEDO,,,,1,0,1,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,S/D,,S/D,,S/D,S/D,S/D,Día,,,Despejado,,,Sin Semáforo
201240,OBSERVATORIO VIAL,2023-11-08,2:45:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,MAIPU,1235,LION,,,,0,2,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Recta,,,,Asfalto,,Apto,Seca,,S/D,,S/D,,S/D,S/D,S/D,Día,,,Despejado,,,S/D
176189,OBSERVATORIO VIAL,2023-11-08,9:55:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AAVENIDA 3 DE ABRIL,869,,,-2.747.508,-5.884.063,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Intersección / cruce,,,No obstruido,Asfalto,,Apto,Seca,,,,Ninguna,,S/D,S/D,S/D,Día,,,Despejado,,,S/D
180122,OBSERVATORIO VIAL,2023-11-05,9:15:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,RIOJA,1071,,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Recta,,,,S/D,,Apto,Seca,,S/D,,S/D,,S/D,S/D,S/D,Día,,,Despejado,,,S/D
177721,OBSERVATORIO VIAL,2023-11-05,8:05:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,CHACABUCO,2800,TAMPICO,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Recta,,,,Asfalto,,Apto,Seca,,S/D,,S/D,,S/D,S/D,S/D,Día,,,Despejado,,,S/D
186752,OBSERVATORIO VIAL,2023-11-05,8:15:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV SARMIENTO,1600,RAMON CARRILLO,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Angulo,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,S/D,,S/D,,S/D,S/D,S/D,Día,,,Despejado,,,Sin Semáforo
201236,OBSERVATORIO VIAL,2023-11-05,9:45:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,CARTAGENA,3800,TACUARI,,,,0,1,0,1,0,Caída desde vehículo,Caída desde vehículo,,,,1,,Recta,,,,Asfalto,,Ahuellamiento,Seca,,S/D,,S/D,,S/D,S/D,S/D,Día,,,Niebla / Neblina,,,S/D
193981,OBSERVATORIO VIAL,2023-11-04,8:16:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,COMODORO RIVADAVIA,2200,CIUDAD DE AREQUIPA,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Angulo,2,,Recta,,,,Asfalto,,Apto,Seca,,S/D,,S/D,,S/D,S/D,S/D,Día,,,Despejado,,,S/D
196781,OBSERVATORIO VIAL,2023-11-04,11:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,INDEPENDENCIA,4380,,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Recta,,,,Asfalto,,Apto,Seca,,Ninguna,,,,S/D,S/D,S/D,Día,,,Despejado,,,Sin Semáforo
184126,OBSERVATORIO VIAL,2023-11-04,10:48:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV ARTIGAS,2500,AV PEDRO FERRE,,,,2,2,0,4,0,Colisión entre vehículos,Colisión entre vehículos,,,Multiple,4,,Intersección / cruce,,,No obstruido,Asfalto,,Apto,Seca,,Cantero central,,Ninguna,,Si,Si,S/D,Día,,,Despejado,,,Funciona
207689,OBSERVATORIO VIAL,2023-11-04,9:20:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV PEDRO FERRE,2800,BOLIVIA,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Alcance,2,,Intersección / cruce,,,No obstruido,Asfalto,,Apto,Seca,,Cantero central,,Ninguna,,Si,No,No,Día,,,Despejado,,,Sin Semáforo
