id_feu,siniestro_fecha,provincia,id_provincia,numero,numero_ocupantes,tipo_involucrado,otro_tipo_involucrado,ano_vehiculo,uso_vehiculo,tipo_servicio_vehiculo,tipo_vehiculo_de_movilidad_personal,tipo_de_bicicleta,tipo_de_transporte_de_carga,sustancias_peligrosas,tipo_transporte_pasajeros,tipo_traccion_a_sangre
48882,2018-08-30 8:30:00,CORRIENTES,21,0,1,Automóvil,,2014,Privado,,,,,,,
48882,2018-08-30 8:30:00,CORRIENTES,21,1,1,Motocicleta,,2017,Privado,,,,,,,
48884,2018-08-30 11:45:00,CORRIENTES,21,0,1,Camioneta/Utilitario,,2012,Privado,,,,,,,
48884,2018-08-30 11:45:00,CORRIENTES,21,1,1,Motocicleta,,2000,Privado,,,,,,,
48888,2018-09-03 16:00:00,CORRIENTES,21,0,1,Automóvil,,2005,Privado,,,,,,,
48888,2018-09-03 16:00:00,CORRIENTES,21,1,2,Motocicleta,,2011,Privado,,,,,,,
48924,2018-09-10 10:15:00,CORRIENTES,21,0,1,Automóvil,,1998,Privado,,,,,,,
48924,2018-09-10 10:15:00,CORRIENTES,21,1,1,Motocicleta,,2017,Privado,,,,,,,
48924,2018-09-10 10:15:00,CORRIENTES,21,2,1,Motocicleta,,2017,Privado,,,,,,,
48935,2018-09-13 19:30:00,CORRIENTES,21,0,2,Motocicleta,,2013,Privado,,,,,,,
48938,2018-09-18 9:00:00,CORRIENTES,21,0,1,Camioneta/Utilitario,,2017,Privado,,,,,,,
48938,2018-09-18 9:00:00,CORRIENTES,21,1,1,Motocicleta,,2014,Privado,,,,,,,
48941,2018-09-17 12:35:00,CORRIENTES,21,0,1,Automóvil,,2014,Privado,,,,,,,
48941,2018-09-17 12:35:00,CORRIENTES,21,1,3,Automóvil,,2015,Privado,,,,,,,
48956,2018-09-21 5:50:00,CORRIENTES,21,0,1,Automóvil,,2014,,,,,,,,
48956,2018-09-21 5:50:00,CORRIENTES,21,1,1,Motocicleta,,2014,,,,,,,,
48960,2018-09-24 23:50:00,CORRIENTES,21,0,1,Motocicleta,,2014,Privado,,,,,,,
48966,2018-09-26 11:30:00,CORRIENTES,21,0,1,Automóvil,,2012,Privado,,,,,,,
48966,2018-09-26 11:30:00,CORRIENTES,21,1,1,Motocicleta,,2011,Privado,,,,,,,
48970,2018-09-27 7:00:00,CORRIENTES,21,0,1,Motocicleta,,2016,Privado,,,,,,,
48970,2018-09-27 7:00:00,CORRIENTES,21,1,1,Automóvil,,1998,Privado,,,,,,,
48972,2018-09-26 12:05:00,CORRIENTES,21,0,1,Automóvil,,2012,Privado,,,,,,,
48972,2018-09-26 12:05:00,CORRIENTES,21,1,1,Transporte de pasajeros,,2012,Publico,,,,,,,
48974,2018-09-27 16:40:00,CORRIENTES,21,0,3,Automóvil,,2016,Privado,,,,,,,
48974,2018-09-27 16:40:00,CORRIENTES,21,1,1,Motocicleta,,,Privado,,,,,,,
